l u
0.0 0.5
0.0 0.9
0.0 1.0
0.0 1.7
0.0 0.7
0.0 2.1666666666666665
0.23333333333333334 0.7666666666666667
0.0 3.3333333333333335
0.0 1.3333333333333333
0.0 1.0
0.0 0.1
0.0 0.6666666666666666
0.0 0.4666666666666667
0.0 0.4666666666666667
0.0 0.2
0.0 1.2
0.0 0.7333333333333333
0.4666666666666667 5.633333333333334
0.0 2.066666666666667
0.0 0.7
0.0 0.6333333333333333
0.0 0.23333333333333334
0.0 0.9333333333333333
0.0 1.1333333333333333
0.0 0.23333333333333334
0.0 2.033333333333333
0.23333333333333334 1.3333333333333333
0.0 1.5666666666666667
0.0 1.8333333333333333
0.0 3.2
0.9 19.066666666666666
0.0 2.033333333333333
0.0 0.43333333333333335
0.0 0.23333333333333334
0.0 0.23333333333333334
0.4666666666666667 0.7
0.0 0.9
0.0 0.23333333333333334
0.0 6.266666666666667
0.0 2.066666666666667
0.0 0.6666666666666666
0.0 0.23333333333333334
0.5333333333333333 2.5
1.2 1.4333333333333333
0.4666666666666667 2.033333333333333
0.0 0.9333333333333333
0.0 0.23333333333333334
0.9 3.0
0.0 2.3
0.4666666666666667 1.3333333333333333
0.23333333333333334 0.8666666666666667
0.0 1.8666666666666667
0.0 0.9333333333333333
0.0 0.23333333333333334
0.0 0.4666666666666667
0.7 1.6666666666666667
0.43333333333333335 0.9333333333333333
0.23333333333333334 0.9
0.23333333333333334 0.6666666666666666
0.0 0.23333333333333334
0.0 0.7333333333333333
0.0 0.7
0.4666666666666667 1.5666666666666667
0.4666666666666667 1.4333333333333333
0.0 0.43333333333333335
0.23333333333333334 1.1
0.0 0.5
0.0 0.43333333333333335
0.23333333333333334 1.0
0.0 0.4
0.23333333333333334 0.6666666666666666
0.16666666666666666 0.6333333333333333
0.0 0.4666666666666667
0.0 2.7333333333333334
0.23333333333333334 0.7
0.0 0.9
1.3333333333333333 2.3
0.0 0.6
0.0 0.7
0.0 3.6333333333333333
0.0 2.5
0.6333333333333333 1.5333333333333334
0.0 0.7
0.0 4.166666666666667
0.23333333333333334 0.7333333333333333
0.0 2.5
2.033333333333333 10.9
0.0 0.4666666666666667
0.0 0.26666666666666666
0.0 2.033333333333333
0.4666666666666667 0.9333333333333333
0.0 1.4333333333333333
0.0 0.9
0.0 1.6333333333333333
0.0 2.0
0.0 0.5
0.0 Inf
0.23333333333333334 0.4666666666666667
0.23333333333333334 0.9333333333333333
0.23333333333333334 1.1333333333333333
0.0 0.6666666666666666
0.0 0.7
0.0 0.9666666666666667
0.0 1.4
0.0 1.6
0.0 0.4666666666666667
0.9 7.866666666666666
0.0 0.5
0.0 0.5
0.0 1.5666666666666667
0.0 1.1666666666666667
0.0 0.7
1.1666666666666667 1.6333333333333333
0.0 0.23333333333333334
0.9333333333333333 1.3666666666666667
0.0 1.0333333333333334
0.0 0.23333333333333334
0.0 18.133333333333333
0.0 0.5333333333333333
0.0 0.9333333333333333
0.0 1.1666666666666667
0.0 0.2
0.7 1.1666666666666667
0.26666666666666666 0.5
0.0 0.7
0.4666666666666667 1.1333333333333333
0.9333333333333333 1.3333333333333333
0.0 0.5
0.23333333333333334 0.7
0.0 1.8
0.0 0.4666666666666667
0.0 2.1
0.0 0.5333333333333333
0.7 2.3
0.0 1.1
0.9333333333333333 2.3333333333333335
0.23333333333333334 0.9333333333333333
0.0 0.23333333333333334
0.0 0.4666666666666667
0.0 0.6666666666666666
0.0 0.9333333333333333
0.23333333333333334 1.6666666666666667
0.0 Inf
0.0 Inf
0.0 Inf
0.0 Inf
0.0 Inf
0.0 0.23333333333333334
